S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Scores
AB1,F,13,U,GT3,A,4,4,2,2,0,yes,no,no,no,yes,yes,no,4,3,3,6,17
AB2,F,12,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,yes,5,3,3,4,16
AB3,F,10,U,LE3,T,1,1,1,2,3,yes,no,yes,no,yes,yes,yes,4,3,3,10,25
AB4,F,10,U,GT3,T,4,2,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,5,2,44
AB5,F,11,U,GT3,T,3,3,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,4,26
AB6,M,11,U,LE3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,5,10,45
AB7,M,11,U,LE3,T,2,2,1,2,0,no,no,no,no,yes,yes,yes,4,4,3,0,35
AB8,F,12,U,GT3,A,4,4,2,2,0,yes,yes,no,no,yes,yes,no,4,1,1,6,17
AB9,M,10,U,LE3,A,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,1,0,53
AB10,M,10,U,GT3,T,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,5,5,5,0,44
AB11,F,10,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,3,3,2,0,27
AB12,F,10,U,GT3,T,2,1,3,3,0,no,yes,no,yes,yes,yes,yes,5,2,4,4,34
AB13,M,10,U,LE3,T,4,4,1,1,0,no,yes,yes,yes,yes,yes,yes,4,3,5,2,42
AB14,M,10,U,GT3,T,4,3,2,2,0,no,yes,yes,no,yes,yes,yes,5,4,3,2,31
AB15,M,10,U,GT3,A,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,5,3,0,46
AB16,F,11,U,GT3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,4,2,4,42
AB17,F,11,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,6,41
AB18,F,11,U,GT3,T,3,3,3,2,0,yes,yes,no,yes,yes,yes,no,5,3,4,4,28
AB19,M,12,U,GT3,T,3,2,1,1,3,no,yes,no,yes,yes,yes,yes,5,5,5,16,16
AB20,M,11,U,LE3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,yes,3,1,5,4,28
AB21,M,10,U,GT3,T,4,3,1,2,0,no,no,no,no,yes,yes,yes,4,4,1,0,42
AB22,M,10,U,GT3,T,4,4,1,1,0,no,yes,yes,no,yes,yes,yes,5,4,5,0,42
AB23,M,11,U,LE3,T,4,2,1,2,0,no,no,no,yes,yes,yes,yes,4,5,5,2,46
AB24,M,11,U,LE3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,0,38
AB25,F,10,R,GT3,T,2,4,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,5,2,27
AB26,F,11,U,GT3,T,2,2,1,1,2,no,yes,yes,no,no,yes,yes,1,2,5,14,23
AB27,M,10,U,GT3,T,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,4,2,5,2,35
AB28,M,10,U,GT3,T,4,2,1,1,0,no,no,yes,no,yes,yes,yes,2,2,1,4,46
AB29,M,11,U,LE3,A,3,4,1,2,0,yes,yes,no,yes,yes,yes,yes,5,3,5,4,33
AB30,M,11,U,GT3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,16,33
AB31,M,10,U,GT3,T,4,4,1,2,0,no,yes,yes,no,no,yes,yes,5,4,5,0,32
AB32,M,10,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,0,50
AB33,M,10,R,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,5,0,49
AB34,M,10,U,LE3,T,3,3,1,2,0,no,no,no,yes,no,yes,yes,5,3,2,0,30
AB35,M,11,U,GT3,T,3,2,1,1,0,no,yes,yes,no,no,yes,yes,5,4,5,0,41
AB36,F,10,U,GT3,T,2,3,2,1,0,no,yes,no,yes,yes,yes,no,3,5,5,0,21
AB37,M,10,U,LE3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,4,2,49
AB38,M,11,R,GT3,A,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,5,7,46
AB39,F,10,R,GT3,T,3,4,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,5,2,35
AB40,F,10,R,GT3,T,2,2,1,1,0,yes,yes,yes,yes,yes,yes,no,4,3,2,8,40
AB41,F,11,U,LE3,T,2,2,2,2,1,no,yes,no,yes,no,yes,yes,3,3,3,25,28
AB42,M,10,U,LE3,T,4,4,1,1,0,no,yes,no,no,no,yes,yes,5,4,5,8,36
AB43,M,10,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,55
AB44,M,10,U,GT3,T,2,2,1,1,0,yes,yes,no,no,yes,yes,yes,5,4,1,0,27
AB45,F,11,U,LE3,T,2,2,2,2,1,yes,no,no,yes,yes,yes,yes,4,3,5,14,29
AB46,F,10,U,LE3,A,4,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,5,8,22
AB47,F,11,U,LE3,A,3,3,1,2,0,no,yes,no,no,yes,yes,yes,2,3,3,12,34
AB48,M,11,U,GT3,T,4,3,1,4,0,no,no,no,yes,yes,yes,yes,4,2,2,4,58
AB49,M,10,U,GT3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,2,44
AB50,F,10,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,no,yes,yes,4,4,3,2,21
AB51,F,11,U,LE3,T,2,2,3,2,0,no,yes,yes,no,yes,yes,yes,4,3,4,2,38
AB52,F,10,U,LE3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,3,5,2,37
AB53,M,10,U,LE3,A,4,2,2,1,1,no,no,no,no,yes,yes,no,5,5,5,6,32
AB54,F,10,U,GT3,T,4,4,1,1,0,yes,yes,yes,no,yes,yes,yes,3,3,5,0,29
AB55,F,10,U,LE3,A,3,3,1,1,0,no,no,yes,no,yes,yes,yes,5,3,1,6,36
AB56,F,11,U,GT3,A,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,2,8,27
AB57,F,10,U,GT3,A,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,1,0,44
AB58,M,10,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,3,2,5,4,44
AB59,M,10,U,LE3,T,1,2,1,2,0,yes,yes,no,yes,yes,yes,yes,4,3,5,2,28
AB60,F,11,U,GT3,T,4,2,1,2,0,no,yes,no,no,yes,yes,yes,4,2,5,2,47
AB61,F,11,R,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,2,4,4,6,32
AB62,F,11,U,GT3,T,1,1,4,1,0,yes,yes,no,yes,no,yes,yes,5,5,5,6,29
AB63,F,11,U,LE3,T,1,2,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,1,4,27
AB64,F,11,U,GT3,T,4,3,1,3,0,yes,yes,yes,yes,yes,yes,yes,3,4,4,2,28
AB65,F,10,U,LE3,T,4,3,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,2,0,30
AB66,F,11,U,LE3,T,4,3,3,2,0,no,yes,no,yes,yes,yes,yes,5,4,1,2,46
AB67,M,10,U,GT3,A,4,4,1,4,0,no,yes,no,yes,no,yes,yes,1,3,3,4,38
