S/N,Scores
AB201,34.13683205526045
AB202,28.132369460671917
AB203,29.61020777478697
AB204,30.36276843821388
AB205,31.77746124181988
AB206,31.768913777370656
AB207,25.912585693732307
AB208,33.92853397978056
AB209,29.19945527620062
AB210,31.306723128107784
AB211,29.373480377239254
AB212,34.10169549713225
AB213,26.57357083570994
AB214,30.48531937596238
AB215,38.643409538434476
AB216,31.461612399362483
AB217,25.095988997737678
AB218,30.32934730224569
AB219,31.457475525717182
AB220,29.373480377239254
AB221,32.8000022163032
AB222,26.817480980106527
AB223,26.21109508520457
AB224,29.46247403220004
AB225,31.036624034554805
AB226,28.902682122705585
AB227,28.902682122705585
AB228,30.78436039066002
AB229,28.857605962491885
AB230,31.54033297913912
AB231,34.14330176232845
AB232,32.14564137813535
AB233,23.987337582039874
AB234,37.65922373788231
AB235,27.50701195670846
AB236,33.67418618429491
AB237,29.98609946689377
AB238,32.52090397205518
AB239,28.849808722583724
AB240,28.38392226226603
AB241,31.967661164625216
AB242,34.3714445907321
AB243,34.68778539192242
AB244,35.67100447497923
AB245,26.615240463817923
AB246,31.192990113682338
AB247,32.86799173734617
AB248,21.308645326134446
AB249,30.10556749173271
AB250,28.270634808496172
AB251,20.82172317037084
AB252,28.289138716480945
AB253,30.272508941130255
AB254,25.561004587714272
AB255,26.086429118475536
AB256,27.51966709362579
AB257,33.616189136080884
AB258,32.030457511878325
AB259,30.711921946907236
AB260,27.950502152663958
AB261,24.99217639651297
AB262,31.906389907605686
AB263,24.090919557227096
AB264,31.433640752227653
AB265,29.355743493917156
AB266,32.753308600280754
AB267,31.691649033888226
AB268,32.80150121633912
AB269,32.58896425936991
AB270,24.349872586896627
AB271,23.142808421509613
AB272,30.99754065680174
AB273,27.530205975634065
AB274,30.591593564216137
AB275,33.89230403224036
AB276,26.6645647954645
AB277,22.799965925070744
AB278,37.81315522721228
AB279,25.121548492832083
AB280,35.64246514519302
AB281,33.40956249481086
AB282,30.983420726287893
AB283,24.791462260860314
AB284,26.61102658730943
AB285,29.017833689836202
AB286,29.877208152004563
AB287,29.007578535041887
AB288,28.27394083842051
AB289,31.212191063267873
AB290,34.531854573988
AB291,32.58896425936991
AB292,33.19981895053286
AB293,29.017833689836202
AB294,25.533983721159426
AB295,30.474545598963854
AB296,30.2113953676118
AB297,30.293321092002024
AB298,30.91673911808853
AB299,30.319284213467707
AB300,35.93538079510747
AB301,35.191930185062276
AB302,27.94193829441466
AB303,30.319284213467707
AB304,29.511487253665358
AB305,29.98609946689377
AB306,31.135673449139098
AB307,27.4515835324311
AB308,34.79130429962838
AB309,28.59638764551671
AB310,26.88402178797991
AB311,26.621287942642912
AB312,28.418899004656808
AB313,29.803165252565464
AB314,31.221851544053614
AB315,23.576918889379613
AB316,25.947490527683726
AB317,31.15738721410299
AB318,31.82792927866115
AB319,27.742087658158763
AB320,34.127649970002565
AB321,33.750119850315116
AB322,30.544533237536847
AB323,30.046385497048934
AB324,25.34118531291017
AB325,25.696763590336012
AB326,34.805873233226876
AB327,32.13166903759411
AB328,27.70085065255505
AB329,33.72544817609222
AB330,33.3053344048237
AB331,33.44388090184401
AB332,31.768913777370656
AB333,29.355743493917156
AB334,26.950965333250664
AB335,24.626152113164483
AB336,31.768913777370656
AB337,29.390749423529872
AB338,28.99006259789978
AB339,29.550514698405305
AB340,28.542644956618258
AB341,29.373480377239254
AB342,32.152781823799515
AB343,32.840583619643134
AB344,28.612458479501655
AB345,29.007578535041887
AB346,29.550514698405305
AB347,32.15236272985994
AB348,31.939110434913115
AB349,30.701731922241887
AB350,30.591470310883278
AB351,25.77154364544536
AB352,31.17164352958025
AB353,28.113090363555884
AB354,23.317373515467125
AB355,32.4585677512934
AB356,25.933150966057422
AB357,34.28692217474801
AB358,32.28184540429079
AB359,28.720838819955073
AB360,26.9886958188276
AB361,16.592142672251615
AB362,25.03335787348725
AB363,28.99006259789978
AB364,30.899716716010925
AB365,23.37637320588342
AB366,27.357235748908135
AB367,33.02389810805888
AB368,24.783103689681123
AB369,33.06076393979181
AB370,32.2384087366315
AB371,22.313479844438575
AB372,25.72935876516114
AB373,29.274118013637683
AB374,30.593880635952445
AB375,30.127833472193842
AB376,24.551493872739712
AB377,25.540587789658247
AB378,34.25427401912615
AB379,27.40692879978107
AB380,29.325950889777925
AB381,35.3494272842959
AB382,30.908590198204603
AB383,31.172674574286308
AB384,22.111051939135738
AB385,33.093679235162085
AB386,29.57172884248602
AB387,31.48022431256598
AB388,28.174767519526863
AB389,31.15738721410299
AB390,26.15556532313156
AB391,25.10174557905424
AB392,32.20946067243937
AB393,23.547845345668904
AB394,19.415174308945616
AB395,31.425988573591336
