S/N,Scores
AB201,1.1575373878513056e+17
AB202,2817201693311.5547
AB203,1759067954706.5024
AB204,103757779879193.47
AB205,1843048611613084.2
AB206,94796375432759.67
AB207,3329229895.2962203
AB208,9929236317809834.0
AB209,831756106127.6797
AB210,4238077171582285.5
AB211,77253401878861.3
AB212,4105260830912.48
AB213,153235764108.80917
AB214,1982909276005.347
AB215,5519509589521533.0
AB216,2.1756665967032016e+16
AB217,23531907244.25708
AB218,68105209051699.45
AB219,448985892404.7764
AB220,79490927674315.83
AB221,4.135633878470477e+16
AB222,9692540920414.299
AB223,1380410035475.3413
AB224,1917401449728.182
AB225,36878002326530.414
AB226,6426892482714.129
AB227,1376518470206.2505
AB228,10332548384542.33
AB229,64961968981.25458
AB230,1.0830252032961513e+18
AB231,7.758767332321619e+17
AB232,358115793186226.06
AB233,14524009488.792515
AB234,2.204244710817575e+19
AB235,666460076809520.6
AB236,9358582863119890.0
AB237,539078374836.8702
AB238,5478575224570826.0
AB239,1306594823728.1074
AB240,1452520228301.2007
AB241,2.3317203214108424e+16
AB242,269960932569140.5
AB243,6.460383438784573e+17
AB244,5.307302616144827e+18
AB245,4015069117571.683
AB246,69797832292425.29
AB247,261634435494065.72
AB248,48730275784.55037
AB249,3613909515292.593
AB250,307091800611276.3
AB251,143572156955.88684
AB252,1392021558.6577134
AB253,1835974204524168.2
AB254,1122705555087.1277
AB255,3144393469211.623
AB256,9910386135961.613
AB257,1.620053912147847e+16
AB258,390546324669375.56
AB259,39518557476417.13
AB260,398214967468029.5
AB261,90704064741.7124
AB262,351185498000662.25
AB263,205034836441972.9
AB264,9.927887000627688e+17
AB265,16057749490727.783
AB266,2.433312197520896e+16
AB267,65807967820648.53
AB268,605735563880942.1
AB269,222542959134629.44
AB270,128650956099.6049
AB271,2495947361.4142833
AB272,1708372612909082.8
AB273,425450517713.40643
AB274,489247346535073.2
AB275,46474541958438.29
AB276,15940053195.25154
AB277,68495253764.282326
AB278,3.1716864559551772e+16
AB279,174078144675.14413
AB280,2.1822047314336218e+17
AB281,2.3045848408712755e+17
AB282,16602064938211.707
AB283,1.810082838784398e+16
AB284,921096414637.3698
AB285,68520067460.98162
AB286,1869496960503.8357
AB287,8581392382055.947
AB288,4880854895355.717
AB289,7.294638814766402e+16
AB290,838469191620314.5
AB291,86716246554456.53
AB292,2029330725828921.2
AB293,25141791425047.77
AB294,4944475674464.284
AB295,708471884551396.9
AB296,3644074013869.867
AB297,106899472163105.08
AB298,58879205346755.195
AB299,16595175173304.127
AB300,225102547486233.47
AB301,2113418433622667.0
AB302,15043460389891.686
AB303,22794392809836.176
AB304,20681508020306.797
AB305,1328482581893.8547
AB306,5542178978852.351
AB307,320737861159986.94
AB308,8442255405362.228
AB309,8508197643006.937
AB310,17047060918.374197
AB311,6870187610807916.0
AB312,13542928767.260256
AB313,9066511218635.488
AB314,1.875132672286403e+16
AB315,17514161508.034046
AB316,26401293359051.793
AB317,61366280711824.8
AB318,529126994671999.9
AB319,164441751777440.3
AB320,148662376813424.03
AB321,30290170445283.42
AB322,133084984477283.3
AB323,3598068792502383.0
AB324,58682238033952.91
AB325,160360756431910.62
AB326,1.547247708181854e+17
AB327,5085401229330.498
AB328,22817893206.682747
AB329,3356115351607189.5
AB330,37449974203181.0
AB331,2994643280156435.5
AB332,392013447859220.0
AB333,20354326078936.82
AB334,15663780645606.168
AB335,64894781169748.336
AB336,3308708478803469.5
AB337,1616547384005698.2
AB338,179143936702.4877
AB339,156627605086112.56
AB340,955950629475.2173
AB341,3438305366772706.5
AB342,1415243958039991.5
AB343,7669598238407.234
AB344,118046419960.6847
AB345,16702478022219.523
AB346,442893108518300.8
AB347,8688646729451527.0
AB348,391277790272094.06
AB349,2261001836808328.0
AB350,7164750758508.443
AB351,42433037191.734
AB352,195086751367592.94
AB353,5812951919061.267
AB354,22464291163.914505
AB355,1.7580844634870864e+16
AB356,979308530571.405
AB357,3055429972731805.5
AB358,7.841150117952515e+16
AB359,24580232765804.16
AB360,77576361649907.45
AB361,32256956942.231213
AB362,277493371071.58044
AB363,258717061039.10275
AB364,106899472163105.08
AB365,5328816964877132.0
AB366,40953146394.20229
AB367,1.1045751175008038e+16
AB368,12789338796978.32
AB369,3378375032906.476
AB370,110066241527943.03
AB371,103565479885.66539
AB372,18748794394.029076
AB373,6457144561041301.0
AB374,9.762841345112235e+16
AB375,38567685500789.43
AB376,1354569630453380.5
AB377,45389885952.42141
AB378,1.413632006301742e+16
AB379,5762449008283.966
AB380,273339768908166.62
AB381,5.677063353870106e+16
AB382,8915136606682.373
AB383,106064735304603.14
AB384,17114190205.728872
AB385,13025739347085.518
AB386,99010447282297.78
AB387,1.7944623247385596e+16
AB388,42525432557606.89
AB389,46918246203071.586
AB390,25926775445.040386
AB391,6683685959.643886
AB392,77347019345103.5
AB393,47166418833.18668
AB394,30739402531.047245
AB395,2.025560657515953e+16
