S/N,Scores
AB201,2.4801118473230224e+16
AB202,6632662172573.453
AB203,51481871411987.875
AB204,27038653378614.81
AB205,2687764396750805.0
AB206,132056280661191.73
AB207,61098623732.22213
AB208,1.5404757076609965e+17
AB209,5618078625044.338
AB210,1.0669097570301474e+16
AB211,231643769826376.38
AB212,278560987373151.88
AB213,112936808148.9868
AB214,14287997626834.574
AB215,3.006709979808368e+16
AB216,9161345322887076.0
AB217,442254126641.6564
AB218,697994997376061.1
AB219,26795089345553.4
AB220,633058508250554.5
AB221,542106739112004.94
AB222,142147418684890.75
AB223,75601885693.42545
AB224,58182444226843.07
AB225,575376627084507.8
AB226,1059223572518.0652
AB227,920259957002.661
AB228,26986983299378.484
AB229,24186340501.043415
AB230,3.2014198965088044e+16
AB231,7.076451654956173e+17
AB232,5971396934910237.0
AB233,128453770889.99629
AB234,1.0656669582353256e+18
AB235,86005087882925.92
AB236,9725432031228256.0
AB237,9704436708865.234
AB238,524778997304681.06
AB239,2678701234546.8115
AB240,5416509553631.483
AB241,1.215456753792554e+17
AB242,1261246747241563.8
AB243,3.1663007413781325e+17
AB244,8.096823492062943e+17
AB245,858121551997310.9
AB246,63724521432891.37
AB247,213330542276728.22
AB248,192107561428.41342
AB249,4234512823088.2295
AB250,820028961410525.0
AB251,1359775148764.5293
AB252,229706307786.3139
AB253,711732212206503.1
AB254,66991999061854.6
AB255,82386609108376.6
AB256,56340650514956.38
AB257,4.18975054286926e+16
AB258,1511658250900327.0
AB259,32157586914749.848
AB260,5624133469802213.0
AB261,106912610609.73393
AB262,658041839061855.6
AB263,2140507670617509.8
AB264,2.3322813619115572e+16
AB265,8828253497128324.0
AB266,1.2141367992341802e+16
AB267,108176861992849.95
AB268,1.8790359966898404e+16
AB269,497725571526542.9
AB270,44280431543296.99
AB271,7361517102.616616
AB272,444211186503025.7
AB273,2137140763112.982
AB274,4308745814395138.5
AB275,6909628910818949.0
AB276,135806638769.78357
AB277,9266303616993.11
AB278,1.3517032190961574e+16
AB279,379816839111.07697
AB280,1.846896799501127e+16
AB281,5.65744853652683e+17
AB282,102193793902499.5
AB283,455678156720318.94
AB284,1447698719405.5425
AB285,798809797944.5331
AB286,18515240950416.168
AB287,392358175049025.75
AB288,94272279238127.92
AB289,1.650603366040656e+16
AB290,894264368522535.9
AB291,497725571526542.9
AB292,3.4179597320641e+17
AB293,4419129994841.413
AB294,4115878885861.686
AB295,927437781430822.5
AB296,46220736823909.71
AB297,509747546797421.5
AB298,1546190240692019.8
AB299,2.714353328834241e+16
AB300,1521028845180880.8
AB301,7316195479603748.0
AB302,438618825220.8187
AB303,3.3350318474995144e+16
AB304,168114241685881.22
AB305,15404760024022.91
AB306,200313759907979.16
AB307,1000987750076832.1
AB308,1589246184383474.0
AB309,1475527971048.6816
AB310,76372493091.5013
AB311,269859689449890.0
AB312,287421057029.46783
AB313,1923852073174.1133
AB314,2528405139355456.5
AB315,323449783035.92303
AB316,281054427876358.2
AB317,2.013530910490498e+16
AB318,1809832476167013.2
AB319,7802849295076855.0
AB320,1678237781864208.0
AB321,1157895522900080.0
AB322,47001469756010.5
AB323,1046800393190485.8
AB324,68970729088682.88
AB325,504661456676874.0
AB326,4.1263631793848984e+16
AB327,9540341920539.459
AB328,90703131221.16632
AB329,3327266622346786.0
AB330,471043298285853.06
AB331,2.2669924688166316e+16
AB332,1680695269069809.0
AB333,14919035664595.082
AB334,46609029219034.234
AB335,5177824123477348.0
AB336,1850820336355206.8
AB337,280806339208121.0
AB338,219071700002422.7
AB339,812443529466793.8
AB340,10043654682021.746
AB341,6396042772366056.0
AB342,510688679753078.5
AB343,12039551329600.516
AB344,5448353599364.127
AB345,392358175049025.75
AB346,918227849903656.5
AB347,1.6725126346911396e+16
AB348,2046866450211321.5
AB349,4.3795301805602024e+16
AB350,19728620063136.105
AB351,62079014960.131355
AB352,359910362072395.3
AB353,10129737558205.225
AB354,225173401658.73914
AB355,5.2259608642419424e+17
AB356,151536902859990.53
AB357,6307844767321421.0
AB358,2234398754442613.8
AB359,5970415367698.926
AB360,59272079391091.09
AB361,1070854921089.2267
AB362,8584211283353.49
AB363,123580161347647.28
AB364,833632505744987.1
AB365,337878729051227.0
AB366,5662333342983.586
AB367,1.4345713602631998e+16
AB368,20162290940647.08
AB369,150485364347812.3
AB370,1.4965964574648506e+16
AB371,135828358178.5966
AB372,246635458959.2663
AB373,6012811189718540.0
AB374,2270277504770800.5
AB375,3369628540343373.0
AB376,992373588264752.8
AB377,275583941085.458
AB378,2.825702206339859e+16
AB379,78508828666329.33
AB380,290402751643108.6
AB381,1.0784149964519096e+16
AB382,47474012719122.94
AB383,141787540275073.5
AB384,1109421477139.2593
AB385,664772986720107.1
AB386,293345446305254.25
AB387,1.4514817807720144e+16
AB388,79371208518077.94
AB389,8395047490179154.0
AB390,1785446316396.2275
AB391,6478433571.342332
AB392,21626537544758.113
AB393,18964285224.74554
AB394,324787478727.1929
AB395,1225872136925844.5
